"1","Ville","Annee","longitudebis","latitudebis","Longitude","Latitude","Time"
"288"," Clermont-Ferrand","2004","2.929565658","46.43283203","3.0862802","45.7796602","3h09"
"289"," Clermont-Ferrand","2005","2.929565658","46.43283203","3.0862802","45.7796602","3h09"
"290"," Clermont-Ferrand","2006","2.929565658","46.43283203","3.0862802","45.7796602","3h09"
"291"," Clermont-Ferrand","2007","2.923419989","46.45844661","3.0862802","45.7796602","3h07"
"292"," Clermont-Ferrand","2008","2.898837316","46.56090494","3.0862802","45.7796602","2h59"
"293"," Clermont-Ferrand","2009","2.898837316","46.56090494","3.0862802","45.7796602","2h59"
"294"," Clermont-Ferrand","2010","2.898837316","46.56090494","3.0862802","45.7796602","2h59"
"295"," Clermont-Ferrand","2011","2.898837316","46.56090494","3.0862802","45.7796602","2h59"
"296"," Clermont-Ferrand","2012","2.898837316","46.56090494","3.0862802","45.7796602","2h59"
"297"," Clermont-Ferrand","2013","2.898837316","46.56090494","3.0862802","45.7796602","2h59"
"298"," Clermont-Ferrand","2014","2.898837316","46.56090494","3.0862802","45.7796602","2h59"
"299"," Clermont-Ferrand","2015","2.914201487","46.49686849","3.0862802","45.7796602","3h04"
"300"," Clermont-Ferrand","2016","2.929565658","46.43283203","3.0862802","45.7796602","3h09"
"301"," Clermont-Ferrand","2017","2.932638492","46.42002474","3.0862802","45.7796602","3h10"
"302"," Dijon","1958","5.0166707","47.3166707","5.0166707","47.3166707","2h26"
"303"," Dijon","1959","5.0166707","47.3166707","5.0166707","47.3166707","2h26"
"304"," Dijon","1960","4.96185144","47.34824753","5.0166707","47.3166707","2h23"
"305"," Dijon","1961","4.943578353","47.35877315","5.0166707","47.3166707","2h22"
"306"," Dijon","1962","4.943578353","47.35877315","5.0166707","47.3166707","2h22"
"307"," Dijon","1963","4.980124526","47.33772192","5.0166707","47.3166707","2h24"
"308"," Dijon","1964","4.980124526","47.33772192","5.0166707","47.3166707","2h24"
"309"," Dijon","1965","4.96185144","47.34824753","5.0166707","47.3166707","2h23"
"310"," Dijon","1966","4.96185144","47.34824753","5.0166707","47.3166707","2h23"
"311"," Dijon","1967","4.96185144","47.34824753","5.0166707","47.3166707","2h23"
"312"," Dijon","1968","4.96185144","47.34824753","5.0166707","47.3166707","2h23"
"313"," Dijon","1969","4.907032179","47.37982437","5.0166707","47.3166707","2h20"
"314"," Dijon","1970","4.833939829","47.42192682","5.0166707","47.3166707","2h16"
"315"," Dijon","1971","4.833939829","47.42192682","5.0166707","47.3166707","2h16"
"316"," Dijon","1972","4.797393656","47.44297804","5.0166707","47.3166707","2h14"
"317"," Dijon","1973","4.925305266","47.36929876","5.0166707","47.3166707","2h21"
"318"," Dijon","1974","4.852212916","47.41140121","5.0166707","47.3166707","2h17"
"319"," Dijon","1975","4.852212916","47.41140121","5.0166707","47.3166707","2h17"
"320"," Dijon","1976","4.852212916","47.41140121","5.0166707","47.3166707","2h17"
"321"," Dijon","1977","4.870486003","47.40087559","5.0166707","47.3166707","2h18"
"322"," Dijon","1978","4.870486003","47.40087559","5.0166707","47.3166707","2h18"
"323"," Dijon","1979","4.907032179","47.37982437","5.0166707","47.3166707","2h20"
"324"," Dijon","1980","4.925305266","47.36929876","5.0166707","47.3166707","2h21"
"325"," Dijon","1981","4.907032179","47.37982437","5.0166707","47.3166707","2h20"
"326"," Dijon","1982","4.724301308","47.48508049","5.0166707","47.3166707","2h10"
"327"," Dijon","1983","4.724301308","47.48508049","5.0166707","47.3166707","2h10"
"328"," Dijon","1984","4.103016352","47.84295128","5.0166707","47.3166707","1h36"
"329"," Dijon","1985","4.103016352","47.84295128","5.0166707","47.3166707","1h36"
"330"," Dijon","1986","4.103016352","47.84295128","5.0166707","47.3166707","1h36"
"331"," Dijon","1987","4.103016352","47.84295128","5.0166707","47.3166707","1h36"
"332"," Dijon","1988","4.103016352","47.84295128","5.0166707","47.3166707","1h36"
"333"," Dijon","1989","4.103016352","47.84295128","5.0166707","47.3166707","1h36"
"334"," Dijon","1990","4.103016352","47.84295128","5.0166707","47.3166707","1h36"
"335"," Dijon","1991","4.103016352","47.84295128","5.0166707","47.3166707","1h36"
"336"," Dijon","1992","4.103016352","47.84295128","5.0166707","47.3166707","1h36"
