Ville,Annee,Longitude,Latitude
 MONTPELLIER,1971,4.270737197,42.26119728
 MONTPELLIER,1972,4.270737197,42.26119728
 MONTPELLIER,1973,4.284731885,42.21319573
 MONTPELLIER,1974,4.284731885,42.21319573
 MONTPELLIER,1975,4.284731885,42.21319573
 MONTPELLIER,1976,4.270737197,42.26119728
 MONTPELLIER,1977,4.30339147,42.14919367
 MONTPELLIER,1978,4.280066989,42.22919625
 MONTPELLIER,1979,4.261407405,42.29319831
 MONTPELLIER,1980,4.280066989,42.22919625
 MONTPELLIER,1981,4.266072301,42.2771978
 MONTPELLIER,1982,3.906875301,43.50923755
 MONTPELLIER,1983,3.878885924,43.60524065
 MONTPELLIER,1984,3.687625183,44.26126182
 MONTPELLIER,1985,3.63164643,44.45326802
 MONTPELLIER,1986,3.63164643,44.45326802
 MONTPELLIER,1987,3.654970911,44.37326543
 MONTPELLIER,1988,3.654970911,44.37326543
 MONTPELLIER,1989,3.654970911,44.37326543
 MONTPELLIER,1990,3.654970911,44.37326543
 MONTPELLIER,1991,3.650306015,44.38926595
 MONTPELLIER,1992,3.650306015,44.38926595
 MONTPELLIER,1993,3.650306015,44.38926595
 MONTPELLIER,1994,3.510359131,44.86928144
 MONTPELLIER,1995,3.510359131,44.86928144
 MONTPELLIER,1996,3.515024027,44.85328092
 MONTPELLIER,1997,3.533683612,44.78927886
 MONTPELLIER,1998,3.5476783,44.74127731
 MONTPELLIER,1999,3.5476783,44.74127731
 MONTPELLIER,2000,3.557008092,44.70927628
 MONTPELLIER,2001,3.267784534,45.70130829
 MONTPELLIER,2002,3.253789845,45.74930984
 MONTPELLIER,2003,3.263119637,45.7173088
 MONTPELLIER,2004,3.263119637,45.7173088
 MONTPELLIER,2005,3.263119637,45.7173088
 MONTPELLIER,2006,3.263119637,45.7173088
 MONTPELLIER,2007,3.27244943,45.68530777
 MONTPELLIER,2008,3.27244943,45.68530777
 MONTPELLIER,2009,3.27244943,45.68530777
 MONTPELLIER,2010,3.27244943,45.68530777
 MONTPELLIER,2011,3.277114326,45.66930726
 MONTPELLIER,2012,3.277114326,45.66930726
 MONTPELLIER,2013,3.277114326,45.66930726
 MONTPELLIER,2014,3.277114326,45.66930726
 MONTPELLIER,2015,3.277114326,45.66930726
 MONTPELLIER,2016,3.277114326,45.66930726
 MONTPELLIER,2017,3.277114326,45.66930726
 NANTES,1958,-1.493757994,47.24224298
 NANTES,1959,-1.23246405,47.35180234
 NANTES,1960,-1.30931521,47.31957899
 NANTES,1961,-1.30931521,47.31957899
 NANTES,1962,-1.324685442,47.31313433
 NANTES,1963,-1.324685442,47.31313433
 NANTES,1964,-1.324685442,47.31313433
 NANTES,1965,-1.324685442,47.31313433
 NANTES,1966,-1.094131963,47.40980435
 NANTES,1967,-1.017280803,47.44202769
 NANTES,1968,-1.001910571,47.44847236
 NANTES,1969,-0.971170107,47.46136169
 NANTES,1970,-0.694505931,47.57736572
 NANTES,1971,-0.694505931,47.57736572
 NANTES,1972,-0.694505931,47.57736572
 NANTES,1973,-0.52543338,47.64825707
 NANTES,1974,-0.494692916,47.6611464
 NANTES,1975,-0.494692916,47.6611464
 NANTES,1976,-0.494692916,47.6611464
 NANTES,1977,-0.494692916,47.6611464
 NANTES,1978,-0.510063148,47.65470174
 NANTES,1979,-0.52543338,47.64825707
 NANTES,1980,-0.633025003,47.60314439
 NANTES,1981,-0.663765467,47.59025505
 NANTES,1982,-0.679135699,47.58381039
 NANTES,1983,-0.679135699,47.58381039
 NANTES,1984,-0.463952452,47.67403574
 NANTES,1985,-0.310250132,47.73848242
 NANTES,1986,-0.310250132,47.73848242
 NANTES,1987,-0.340990596,47.72559308
 NANTES,1988,-0.340990596,47.72559308
 NANTES,1989,0.519742395,48.0864945
 NANTES,1990,0.519742395,48.0864945
 NANTES,1991,0.535112627,48.09293917
 NANTES,1992,0.519742395,48.0864945
 NANTES,1993,0.504372163,48.08004983
 NANTES,1994,0.504372163,48.08004983
 NANTES,1995,0.473631699,48.06716049
 NANTES,1996,0.489001931,48.07360516
 NANTES,1997,0.489001931,48.07360516
 NANTES,1998,0.458261467,48.06071583
 NANTES,1999,0.519742395,48.0864945
 NANTES,2000,0.519742395,48.0864945
 NANTES,2001,0.519742395,48.0864945
 NANTES,2002,0.519742395,48.0864945
 NANTES,2003,0.519742395,48.0864945
 NANTES,2004,0.519742395,48.0864945
 NANTES,2005,0.519742395,48.0864945
 NANTES,2006,0.519742395,48.0864945
 NANTES,2007,0.519742395,48.0864945
 NANTES,2008,0.519742395,48.0864945
 NANTES,2009,0.519742395,48.0864945
 NANTES,2010,0.504372163,48.08004983
 NANTES,2011,0.458261467,48.06071583
 NANTES,2012,0.442891235,48.05427116
 NANTES,2013,0.442891235,48.05427116
 NANTES,2014,0.427521003,48.04782649
 NANTES,2015,0.458261467,48.06071583
 NANTES,2016,0.458261467,48.06071583
 NANTES,2017,0.565853091,48.1058285
 NICE,1958,9.772287874,41.07817188
 NICE,1959,9.772287874,41.07817188
 NICE,1960,9.599648621,41.25899137
 NICE,1961,9.599648621,41.25899137
 NICE,1962,9.599648621,41.25899137
 NICE,1963,9.473046502,41.39159233
 NICE,1964,9.49606507,41.36748307
 NICE,1965,9.49606507,41.36748307
 NICE,1966,9.311916533,41.56035719
 NICE,1967,9.346444384,41.52419329
 NICE,1968,9.116258713,41.76528595
 NICE,1969,8.632868805,42.27158052
 NICE,1970,8.586831671,42.31979905
 NICE,1971,8.586831671,42.31979905
 NICE,1972,8.540794537,42.36801759
 NICE,1973,8.598340955,42.30774442
 NICE,1974,8.575322387,42.33185369
 NICE,1975,8.598340955,42.30774442
 NICE,1976,8.598340955,42.30774442
 NICE,1977,8.575322387,42.33185369
 NICE,1978,8.575322387,42.33185369
 NICE,1979,8.632868805,42.27158052
 NICE,1980,8.690415223,42.21130736
 NICE,1981,8.690415223,42.21130736
 NICE,1982,7.976839644,42.95869459
 NICE,1983,7.965330361,42.97074922
 NICE,1984,7.412884751,43.54937159
 NICE,1985,7.355338334,43.60964476
 NICE,1986,7.332319767,43.63375402
 NICE,1987,7.136661947,43.83868278
 NICE,1988,7.182699081,43.79046425
 NICE,1989,7.14817123,43.82662815
 NICE,1990,7.14817123,43.82662815
 NICE,1991,7.136661947,43.83868278
 NICE,1992,7.14817123,43.82662815
 NICE,1993,7.159680514,43.81457351
 NICE,1994,6.837420575,44.15210323
 NICE,1995,6.894966993,44.09183007
 NICE,1996,6.814402008,44.1762125
 NICE,1997,6.791383441,44.20032176
 NICE,1998,6.906476276,44.07977543
 NICE,1999,6.860439142,44.12799397
 NICE,2000,6.848929859,44.1400486
 NICE,2001,6.181391414,44.8392173
 NICE,2002,6.192900698,44.82716266
 NICE,2003,6.181391414,44.8392173
 NICE,2004,6.158372847,44.86332656
 NICE,2005,6.112335713,44.91154509
 NICE,2006,6.089317146,44.93565436
 NICE,2007,6.13535428,44.88743583
 NICE,2008,6.13535428,44.88743583
 NICE,2009,6.204409981,44.81510803
 NICE,2010,6.215919265,44.8030534
 NICE,2011,6.227428548,44.79099877
 NICE,2012,6.227428548,44.79099877
 NICE,2013,6.215919265,44.8030534
 NICE,2014,6.215919265,44.8030534
 NICE,2015,6.215919265,44.8030534
 NICE,2016,6.192900698,44.82716266
 NICE,2017,6.181391414,44.8392173
 RENNES,1958,-1.666907755,48.11334086
 RENNES,1959,-1.503001316,48.14354776
 RENNES,1960,-1.503001316,48.14354776
 RENNES,1961,-1.109625862,48.21604433
 RENNES,1962,-1.22436037,48.1948995
 RENNES,1963,-1.027672643,48.23114778
 RENNES,1964,-1.027672643,48.23114778
 RENNES,1965,-1.027672643,48.23114778
